Type (Head),Thread,Lenghth,Color (Material),Special icon,Link TME,Link2,Link3,Link spojovaci material,,
Washer,2,,,,https://www.tme.eu/cz/details/b2_bn715/podlozky/bossard/1267612/,,,http://www.spojovaci-material.net/sp/podlozky/ploche/din125a-pod-sestihran/ocel-100hv/bez-povrchove-upravy/podlozka-plocha-din-125a-m2-2-2-19206.html,,
Washer,2,,Plastic,,https://www.tme.eu/cz/details/b2_bn1074/podlozky/bossard/8110867/,,,http://www.spojovaci-material.net/sp/podlozky/ploche/din125a-pod-sestihran/plast/pa/podlozka-plocha-din-125a-m2-2-2-plastova-19259.html,,
Nut,M2,,,,https://www.tme.eu/cz/details/b2_bn109/matice/bossard/1088211/,,,http://www.spojovaci-material.net/sp/matice/sestihranne/presne-din-934/ocel-tridy-6/pozink/matice-din-934-m2-06-pozink-6738.html,,
Lock nut,M2,,,,https://www.tme.eu/cz/details/b2_bn161/matice/bossard/1952935/,,,,,
Insert,M2,,,,https://www.tme.eu/cz/details/kvt-001m2/zavitove-vlozky/tappex/001m2/,,,,,
Insert,M2,,Flanged,,https://www.tme.eu/cz/details/kvt-071m2/zavitove-vlozky/tappex/071m2/,,,,,
Socket,M2,4,,,https://www.tme.eu/cz/details/b2x4_bn11/srouby/bossard/1011804/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-12-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m2x4-12-9-3438.html,,
Socket,M2,6,,,https://www.tme.eu/cz/details/b2x6_bn612/srouby/bossard/1233688/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-12-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m2x6-12-9-3440.html,,
Socket,M2,6,Black,,,,,,,
Socket,M2,8,,,https://www.tme.eu/cz/details/b2x8_bn11/srouby/bossard/1011839/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-12-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m2x8-12-9-3441.html,,
Socket,M2,10,,,https://www.tme.eu/cz/details/b2x10_bn11/srouby/bossard/1011847/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-12-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m2x10-12-9-3442.html,,
Socket,M2,12,,,https://www.tme.eu/cz/details/b2x12_bn612/srouby/bossard/1233726/,,,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-12-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m2x12-12-9-3443.html,,
Pan,M2,16,,,https://www.tme.eu/cz/details/b2x16_bn19/srouby/bossard/1805630/,,,,,
Socket,M2,16,,,https://www.tme.eu/cz/details/b2x16_bn612/srouby/bossard/1420453/,https://www.proprumysl.cz/sroub-valcova-hlava-inbus-din-912-m2x16-nerez-a2/?gclid=CjwKCAjw1YCkBhAOEiwA5aN4AZA65729h2MsYT5LP5POWFyIwK8zYTDabBtZ5JQlI1zjs5IEnBQL-BoCknwQAvD_BwE,https://www.prumex.cz/sroub-valcova-hlava-inbus-din-912-m2x16-nerez-a2/?gclid=CjwKCAjw1YCkBhAOEiwA5aN4AcPkV48PSueuyF0rsfv1Z2nCAXOfBwfrYejo5HT4jYe4KTubOykGPBoCarEQAvD_BwE,http://www.spojovaci-material.net/sp/srouby/valcova-a-zaoblena-hlava/valcova-imbus-din-912/ocel-12-9/bez-povrchove-upravy/sroub-valcova-hlava-inbus-din-912-m2x16-12-9-3444.html,,
Socket,M2,20,,,,,,,,
Socket,M2,20,Black,,https://www.tme.eu/cz/details/b2x20_bn7/srouby/bossard/3055298/,,,,,
Flat,M2,4,,,https://www.tme.eu/cz/details/b2x4_bn4851/srouby/bossard/3271456/,,,,,
Flat,M2,8,,,https://www.tme.eu/cz/details/b2x8_bn4851/srouby/bossard/3271460/,,,,,
Washer,2.5,,,,https://www.tme.eu/cz/details/b2.5_bn715/podlozky/bossard/1777491/,,,http://www.spojovaci-material.net/sp/podlozky/ploche/din125a-pod-sestihran/ocel-100hv/bez-povrchove-upravy/podlozka-plocha-din-125a-m2-5-2-7-7164.html,,
